,strategy,decks,penetration,seventeen,BJ_payout,-1_count_bet,-1_count_spot,0_count_bet,0_count_spot,1_count_bet,1_count_spot,2_count_bet,2_count_spot,3_count_bet,3_count_spot,4_count_bet,4_count_spot,5_count_bet,5_count_spot,6_count_bet,6_count_spot,probability_of_winning,expected_value,prob_of_winning_on_pos_count,expected_value_on_pos_count,fifth_percentile_loss
40,counter,6,2.0,S17,"[3, 2]",1,1,1,1,1,2,4,2,6,2,8,2,10,2,12,2,0.537663,0.017691799999999994,0.5792393085157186,0.09233871856472195,-1633.000000000155
41,counter,6,2.0,S17,"[6, 5]",1,1,1,1,1,2,4,2,6,2,8,2,10,2,12,2,0.537663,0.017691799999999994,0.5792393085157186,0.09233871856472195,-1633.000000000155
42,counter,6,2.0,H17,"[3, 2]",1,1,1,1,1,2,4,2,6,2,8,2,10,2,12,2,0.536564,0.013323199999999997,0.577750932644009,0.08052756807566902,-1845.610000000276
43,counter,6,2.0,H17,"[6, 5]",1,1,1,1,1,2,4,2,6,2,8,2,10,2,12,2,0.536564,0.013323199999999997,0.577750932644009,0.08052756807566902,-1845.610000000276
44,counter,2,0.5,S17,"[3, 2]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.532337,0.07018819999999999,0.5405006725621037,0.13761675640441134,-1034.1999999998213
45,counter,2,0.5,S17,"[6, 5]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.532337,0.07018819999999999,0.5405006725621037,0.13761675640441134,-1034.1999999998213
46,counter,2,0.5,H17,"[3, 2]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.531101,0.06920760000000001,0.5400659092880062,0.13905502369793335,-1198.20000000033
47,counter,2,0.5,H17,"[6, 5]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.531101,0.06920760000000001,0.5400659092880062,0.13905502369793335,-1198.20000000033
48,counter,2,1.0,S17,"[3, 2]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.529,0.031480799999999996,0.5365692063949301,0.07933037148649996,-1814.599999999199
49,counter,2,1.0,S17,"[6, 5]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.529,0.031480799999999996,0.5365692063949301,0.07933037148649996,-1814.599999999199
50,counter,2,1.0,H17,"[3, 2]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.527906,0.025670999999999985,0.5354535697495987,0.06846033759391161,-2222.6099999991357
51,counter,2,1.0,H17,"[6, 5]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.527906,0.025670999999999985,0.5354535697495987,0.06846033759391161,-2222.6099999991357
52,counter,2,1.5,S17,"[3, 2]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.525582,0.009442999999999993,0.5315114614988086,0.049700980869264305,-1353.1999999987563
53,counter,2,1.5,S17,"[6, 5]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.525582,0.009442999999999993,0.5315114614988086,0.049700980869264305,-1353.1999999987563
54,counter,2,1.5,H17,"[3, 2]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.524055,0.004813399999999989,0.5301383898292855,0.04058761562549606,-1373.8100000003071
55,counter,2,1.5,H17,"[6, 5]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.524055,0.004813399999999989,0.5301383898292855,0.04058761562549606,-1373.8100000003071
56,counter,4,0.5,S17,"[3, 2]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.529298,0.05008019999999999,0.5370994741671448,0.11725449493614583,-967.0099999997306
57,counter,4,0.5,S17,"[6, 5]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.529298,0.05008019999999999,0.5370994741671448,0.11725449493614583,-967.0099999997306
58,counter,4,0.5,H17,"[3, 2]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.528166,0.044564599999999975,0.5368292672434191,0.10965192664260424,-1166.7999999993065
59,counter,4,0.5,H17,"[6, 5]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.528166,0.044564599999999975,0.5368292672434191,0.10965192664260424,-1166.7999999993065
60,counter,4,1.0,S17,"[3, 2]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.527747,0.030650599999999986,0.535655881121904,0.08427454308004419,-1081.3999999995826
61,counter,4,1.0,S17,"[6, 5]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.527747,0.030650599999999986,0.535655881121904,0.08427454308004419,-1081.3999999995826
62,counter,4,1.0,H17,"[3, 2]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.526457,0.023165,0.5347886493576531,0.07068238219069772,-1235.2000000000573
63,counter,4,1.0,H17,"[6, 5]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.526457,0.023165,0.5347886493576531,0.07068238219069772,-1235.2000000000573
64,counter,4,1.5,S17,"[3, 2]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.526559,0.011545399999999999,0.5335338797077753,0.04563201350763748,-1312.5999999996711
