,strategy,decks,penetration,seventeen,BJ_payout,-1_count_bet,-1_count_spot,0_count_bet,0_count_spot,1_count_bet,1_count_spot,2_count_bet,2_count_spot,3_count_bet,3_count_spot,4_count_bet,4_count_spot,5_count_bet,5_count_spot,6_count_bet,6_count_spot,probability_of_winning,expected_value,prob_of_winning_on_pos_count,expected_value_on_pos_count,fifth_percentile_loss
38,naive,6,1.5,H17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.480613,-0.09045300000000003,0.4915434806907729,-0.07085242832392556,-4821.20000000662
39,naive,6,1.5,H17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.480613,-0.09045300000000003,0.4915434806907729,-0.07085242832392556,-4821.20000000662
40,naive,6,2.0,S17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.48027200000000003,-0.09176800000000004,0.4891535422934613,-0.07592888195787942,-4957.000000006527
41,naive,6,2.0,S17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.48027200000000003,-0.09176800000000004,0.4891535422934613,-0.07592888195787942,-4957.000000006527
42,naive,6,2.0,H17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.479883,-0.09187560000000003,0.4891238626141073,-0.07528646639826572,-4890.400000000711
43,naive,6,2.0,H17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.479883,-0.09187560000000003,0.4891238626141073,-0.07528646639826572,-4890.400000000711
44,cc,2,0.5,S17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.50941,-0.06865279999999999,0.5096399355306811,-0.06619182391678806,-3762.400000006586
45,cc,2,0.5,S17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.50941,-0.06865279999999999,0.5096399355306811,-0.06619182391678806,-3762.400000006586
46,cc,2,0.5,H17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.50544,-0.07564300000000003,0.5061159113456113,-0.07213837976844333,-4040.80000000662
47,cc,2,0.5,H17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.50544,-0.07564300000000003,0.5061159113456113,-0.07213837976844333,-4040.80000000662
48,cc,2,1.0,S17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.507826,-0.07205960000000003,0.5074143932296352,-0.07144124636260414,-3910.0000000067816
49,cc,2,1.0,S17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.507826,-0.07205960000000003,0.5074143932296352,-0.07144124636260414,-3910.0000000067816
50,cc,2,1.0,H17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.505268,-0.07666200000000008,0.5059719453833644,-0.07355085871008467,-4136.60000000688
51,cc,2,1.0,H17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.505268,-0.07666200000000008,0.5059719453833644,-0.07355085871008467,-4136.60000000688
52,cc,2,1.5,S17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.508798,-0.07000740000000001,0.5064524649111021,-0.07256045855362844,-3812.1999999983423
53,cc,2,1.5,S17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.508798,-0.07000740000000001,0.5064524649111021,-0.07256045855362844,-3812.1999999983423
